"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Waste Disposal & Recycling","VA","51","Hanover","085","PM2.5 Primary (Filt + Cond)","CAP","185.76466","TON"
"Miscellaneous","VA","51","Warren","187","PM2.5 Primary (Filt + Cond)","CAP","185.11190995","TON"
"Fuel Comb. Industrial","VA","51","Hanover","085","PM2.5 Primary (Filt + Cond)","CAP","182.75693029","TON"
"Fuel Comb. Industrial","VA","51","Hopewell city","670","PM2.5 Primary (Filt + Cond)","CAP","181.47679738","TON"
"Other Industrial Processes","VA","51","Virginia Beach city","810","PM2.5 Primary (Filt + Cond)","CAP","181.05617","TON"
"Off-Highway","VA","51","Virginia Beach city","810","PM2.5 Primary (Filt + Cond)","CAP","179.3548100562560000061539049","TON"
"Miscellaneous","VA","51","Arlington","013","PM2.5 Primary (Filt + Cond)","CAP","176.9105723","TON"
"Fuel Comb. Industrial","VA","51","Virginia Beach city","810","PM2.5 Primary (Filt + Cond)","CAP","175.145892765","TON"
"Fuel Comb. Industrial","VA","51","Henrico","087","PM2.5 Primary (Filt + Cond)","CAP","172.88935498","TON"
"Waste Disposal & Recycling","VA","51","Virginia Beach city","810","PM2.5 Primary (Filt + Cond)","CAP","172.753784","TON"
"Miscellaneous","VA","51","Roanoke","161","PM2.5 Primary (Filt + Cond)","CAP","171.0010435","TON"
"Miscellaneous","VA","51","Rappahannock","157","PM2.5 Primary (Filt + Cond)","CAP","170.65144698","TON"
"Waste Disposal & Recycling","VA","51","Stafford","179","PM2.5 Primary (Filt + Cond)","CAP","167.231347","TON"
"Off-Highway","VA","51","Norfolk city","710","PM2.5 Primary (Filt + Cond)","CAP","167.22720404261000006285010854681","TON"
"Highway Vehicles","VA","51","Prince William","153","PM2.5 Primary (Filt + Cond)","CAP","165.93246443","TON"
"Miscellaneous","VA","51","Cumberland","049","PM2.5 Primary (Filt + Cond)","CAP","163.73252305","TON"
"Miscellaneous","VA","51","King William","101","PM2.5 Primary (Filt + Cond)","CAP","162.47910821","TON"
"Fuel Comb. Industrial","VA","51","Richmond city","760","PM2.5 Primary (Filt + Cond)","CAP","161.365530995","TON"
"Fuel Comb. Other","VA","51","Augusta","015","PM2.5 Primary (Filt + Cond)","CAP","160.77697867","TON"
"Miscellaneous","VA","51","King George","099","PM2.5 Primary (Filt + Cond)","CAP","158.2161905","TON"
"Other Industrial Processes","VA","51","Chesterfield","041","PM2.5 Primary (Filt + Cond)","CAP","158.1079333314","TON"
"Waste Disposal & Recycling","VA","51","James city","095","PM2.5 Primary (Filt + Cond)","CAP","157.579727","TON"
"Waste Disposal & Recycling","VA","51","Frederick","069","PM2.5 Primary (Filt + Cond)","CAP","157.53268","TON"
"Fuel Comb. Industrial","VA","51","Campbell","031","PM2.5 Primary (Filt + Cond)","CAP","157.034938285","TON"
"Miscellaneous","VA","51","New Kent","127","PM2.5 Primary (Filt + Cond)","CAP","155.98939276","TON"
"Miscellaneous","VA","51","Northumberland","133","PM2.5 Primary (Filt + Cond)","CAP","155.68213124","TON"
"Waste Disposal & Recycling","VA","51","Bedford","019","PM2.5 Primary (Filt + Cond)","CAP","155.05585","TON"
"Miscellaneous","VA","51","Surry","181","PM2.5 Primary (Filt + Cond)","CAP","155.01410828","TON"
"Waste Disposal & Recycling","VA","51","Henrico","087","PM2.5 Primary (Filt + Cond)","CAP","154.164908","TON"
"Fuel Comb. Other","VA","51","Loudoun","107","PM2.5 Primary (Filt + Cond)","CAP","151.35086665","TON"
